Name;Sex;Age
Mr. Owen Harris Braund;male;22
Mrs. John Bradley (Florence Briggs Thayer) Cumings;female;38
Miss. Laina Heikkinen;female;26
Mrs. Jacques Heath (Lily May Peel) Futrelle;female;35
Mr. William Henry Allen;male;35
Mr. James Moran;male;27
Mr. Timothy J McCarthy;male;54
Master. Gosta Leonard Palsson;male;2
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson;female;27
Mrs. Nicholas (Adele Achem) Nasser;female;14
Miss. Marguerite Rut Sandstrom;female;4
Miss. Elizabeth Bonnell;female;58
Mr. William Henry Saundercock;male;20
Mr. Anders Johan Andersson;male;39
Miss. Hulda Amanda Adolfina Vestrom;female;14
Mrs. (Mary D Kingcome) Hewlett;female;55
Master. Eugene Rice;male;2
Mr. Charles Eugene Williams;male;23
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke;female;31
Mrs. Fatima Masselmani;female;22
Mr. Joseph J Fynney;male;35
Mr. Lawrence Beesley;male;34
Miss. Anna McGowan;female;15
Mr. William Thompson Sloper;male;28
Miss. Torborg Danira Palsson;female;8
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund;female;38
Mr. Farred Chehab Emir;male;26
Mr. Charles Alexander Fortune;male;19
Miss. Ellen O'Dwyer;female;24
Mr. Lalio Todoroff;male;23
Don. Manuel E Uruchurtu;male;40
Mrs. William Augustus (Marie Eugenie) Spencer;female;48
Miss. Mary Agatha Glynn;female;18
Mr. Edward H Wheadon;male;66
Mr. Edgar Joseph Meyer;male;28
Mr. Alexander Oskar Holverson;male;42
Mr. Hanna Mamee;male;18
Mr. Ernest Charles Cann;male;21
Miss. Augusta Maria Vander Planke;female;18
Miss. Jamila Nicola-Yarred;female;14
Mrs. Johan (Johanna Persdotter Larsson) Ahlin;female;40
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin;female;27
Miss. Simonne Marie Anne Andree Laroche;female;3
Miss. Margaret Delia Devaney;female;19
Mr. William John Rogers;male;30
Mr. Denis Lennon;male;20
Miss. Bridget O'Driscoll;female;27
Mr. Youssef Samaan;male;16
Mrs. Josef (Josefine Franchi) Arnold-Franchi;female;18
Master. Juha Niilo Panula;male;7
Mr. Richard Cater Nosworthy;male;21
Mrs. Henry Sleeper (Myna Haxtun) Harper;female;49
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe;female;29
Mr. Engelhart Cornelius Ostby;male;65
Mr. Hugh Woolner;male;46
Miss. Emily Rugg;female;21
Mr. Mansouer Novel;male;28.5
Miss. Constance Mirium West;female;5
Master. William Frederick Goodwin;male;11
Mr. Orsen Sirayanian;male;22
Miss. Amelie Icard;female;38
Mr. Henry Birkhardt Harris;male;45
Master. Harald Skoog;male;4
Mr. Albert A Stewart;male;64
Master. Gerios Moubarek;male;7
Mrs. (Elizabeth Ramell) Nye;female;29
Mr. Ernest James Crease;male;19
Miss. Erna Alexandra Andersson;female;17
Mr. Vincenz Kink;male;26
Mr. Stephen Curnow Jenkin;male;32
Miss. Lillian Amy Goodwin;female;16
Mr. Ambrose Jr Hood;male;21
Mr. Apostolos Chronopoulos;male;26
Mr. Lee Bing;male;32
Mr. Sigurd Hansen Moen;male;25
Mr. Ivan Staneff;male;23
Mr. Rahamin Haim Moutal;male;28
Master. Alden Gates Caldwell;male;0.83
Miss. Elizabeth Dowdell;female;30
Mr. Achille Waelens;male;22
Mr. Jan Baptist Sheerlinck;male;29
Miss. Brigdet Delia McDermott;female;31
Mr. Francisco M Carrau;male;28
Miss. Bertha Ilett;female;17
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom;female;33
Mr. William Neal Ford;male;16
Mr. Selman Francis Slocovski;male;20
Miss. Mabel Helen Fortune;female;23
Mr. Francesco Celotti;male;24
Mr. Emil Christmann;male;29
Mr. Paul Edvin Andreasson;male;20
Mr. Herbert Fuller Chaffee;male;46
Mr. Bertram Frank Dean;male;26
Mr. Daniel Coxon;male;59
Mr. Charles Joseph Shorney;male;22
Mr. George B Goldschmidt;male;71
Mr. William Bertram Greenfield;male;23
Mrs. John T (Ada Julia Bone) Doling;female;34
Mr. Sinai Kantor;male;34
Miss. Matilda Petranec;female;28
Mr. Pastcho Petroff;male;29
Mr. Richard Frasar White;male;21
Mr. Gustaf Joel Johansson;male;33
Mr. Anders Vilhelm Gustafsson;male;37
Mr. Stoytcho Mionoff;male;28
Miss. Anna Kristine Salkjelsvik;female;21
Mr. Albert Johan Moss;male;29
Mr. Tido Rekic;male;38
Miss. Bertha Moran;female;28
Mr. Walter Chamberlain Porter;male;47